epoch,accuracy,categorical_crossentropy,loss,val_accuracy,val_categorical_crossentropy,val_loss
0,0.9108898043632507,0.30275705456733704,0.30275705456733704,0.9527657628059387,0.14516887068748474,0.14516887068748474
1,0.9589586853981018,0.1222299188375473,0.1222299188375473,0.961700439453125,0.11951503157615662,0.11951503157615662
2,0.9705100059509277,0.08777196705341339,0.08777196705341339,0.9604484438896179,0.12195664644241333,0.12195664644241333
3,0.976100742816925,0.069814033806324,0.069814033806324,0.963350772857666,0.11869276314973831,0.11869276314973831
4,0.9802546501159668,0.05686670541763306,0.05686670541763306,0.965114951133728,0.11178216338157654,0.11178216338157654
5,0.983341634273529,0.0487399697303772,0.0487399697303772,0.9622695446014404,0.12438235431909561,0.12438235431909561
6,0.9860302805900574,0.04011192172765732,0.04011192172765732,0.9663100242614746,0.1147402748465538,0.1147402748465538
7,0.9919624328613281,0.024421874433755875,0.024421874433755875,0.9733667373657227,0.09023057669401169,0.09023057669401169
8,0.9945372939109802,0.017167292535305023,0.017167292535305023,0.9743911027908325,0.08830683678388596,0.08830683678388596
9,0.9958887696266174,0.014585111290216446,0.014585111290216446,0.9746187329292297,0.08846733719110489,0.08846733719110489
10,0.9966569542884827,0.012295198626816273,0.012295198626816273,0.9745048880577087,0.08793926984071732,0.08793926984071732
11,0.9970126152038574,0.011434411630034447,0.011434411630034447,0.9753585457801819,0.08703319728374481,0.08703319728374481
12,0.9974678158760071,0.010113567113876343,0.010113567113876343,0.9754723310470581,0.08945893496274948,0.08945893496274948
13,0.9979799389839172,0.00923993717879057,0.00923993717879057,0.9762121438980103,0.08838830143213272,0.08838830143213272
14,0.9981222152709961,0.007865095511078835,0.007865095511078835,0.9760414361953735,0.08812562376260757,0.08812562376260757
